date,hour,type,dongsi
20140216,0,PM2.5,447
20140216,0,AQI,445
20140216,1,PM2.5,444
20140216,1,AQI,441
20140216,2,PM2.5,445
20140216,2,AQI,438
20140216,3,PM2.5,456
20140216,3,AQI,437
20140216,4,PM2.5,432
20140216,4,AQI,438
20140216,5,PM2.5,409
20140216,5,AQI,439
20140216,6,PM2.5,394
20140216,6,AQI,441
20140216,7,PM2.5,370
20140216,7,AQI,442
20140216,8,PM2.5,362
20140216,8,AQI,444
20140216,9,PM2.5,338
20140216,9,AQI,444
20140216,10,PM2.5,319
20140216,10,AQI,444
20140216,11,PM2.5,268
20140216,11,AQI,442
20140216,12,PM2.5,199
20140216,12,AQI,439
20140216,13,PM2.5,192
20140216,13,AQI,433
20140216,14,PM2.5,170
20140216,14,AQI,426
20140216,15,PM2.5,205
20140216,15,AQI,418
20140216,16,PM2.5,226
20140216,16,AQI,411
20140216,17,PM2.5,202
20140216,17,AQI,404
20140216,18,PM2.5,270
20140216,18,AQI,399
20140216,19,PM2.5,292
20140216,19,AQI,394
20140216,20,PM2.5,272
20140216,20,AQI,387
20140216,21,PM2.5,268
20140216,21,AQI,379
20140216,22,PM2.5,253
20140216,22,AQI,370
20140216,23,PM2.5,187
20140216,23,AQI,359
