date,hour,type,dongsi
20140709,0,PM2.5,48.3
20140709,0,AQI,129
20140709,1,PM2.5,53
20140709,1,AQI,118
20140709,2,PM2.5,55.4
20140709,2,AQI,108
20140709,3,PM2.5,43.5
20140709,3,AQI,97
20140709,4,PM2.5,24.8
20140709,4,AQI,86
20140709,5,PM2.5,23.2
20140709,5,AQI,78
20140709,6,PM2.5,19.4
20140709,6,AQI,70
20140709,7,PM2.5,13.1
20140709,7,AQI,62
20140709,8,PM2.5,20.7
20140709,8,AQI,55
20140709,9,PM2.5,16.2
20140709,9,AQI,47
20140709,10,PM2.5,19
20140709,10,AQI,40
20140709,11,PM2.5,16.5
20140709,11,AQI,35
20140709,12,PM2.5,4.9
20140709,12,AQI,33
20140709,13,PM2.5,8.3
20140709,13,AQI,33
20140709,14,PM2.5,11.8
20140709,14,AQI,32
20140709,15,PM2.5,3.2
20140709,15,AQI,33
20140709,18,PM2.5,19.1
20140709,18,AQI,41
20140709,19,PM2.5,34.6
20140709,19,AQI,48
20140709,20,PM2.5,43.1
20140709,20,AQI,44
20140709,21,PM2.5,30.8
20140709,21,AQI,37
20140709,22,PM2.5,27.9
20140709,22,AQI,36
20140709,23,PM2.5,27.4
20140709,23,AQI,35
