date,hour,type,dongsi
20141205,0,PM2.5,5.8
20141205,0,AQI,39
20141205,1,PM2.5,4.2
20141205,1,AQI,38
20141205,2,PM2.5,3
20141205,2,AQI,38
20141205,3,PM2.5,3.3
20141205,3,AQI,37
20141205,4,PM2.5,4.7
20141205,4,AQI,37
20141205,5,PM2.5,3
20141205,5,AQI,37
20141205,6,PM2.5,3.3
20141205,6,AQI,37
20141205,7,PM2.5,3
20141205,7,AQI,36
20141205,8,PM2.5,4.5
20141205,8,AQI,36
20141205,9,PM2.5,8.7
20141205,9,AQI,35
20141205,10,PM2.5,10.6
20141205,10,AQI,33
20141205,11,PM2.5,9.2
20141205,11,AQI,31
20141205,12,PM2.5,8.3
20141205,12,AQI,31
20141205,13,PM2.5,7.6
20141205,13,AQI,31
20141205,14,PM2.5,6.1
20141205,14,AQI,30
20141205,15,PM2.5,5.1
20141205,15,AQI,29
20141205,16,PM2.5,3
20141205,16,AQI,27
20141205,17,PM2.5,4.6
20141205,17,AQI,26
20141205,18,PM2.5,33.8
20141205,18,AQI,34
20141205,19,PM2.5,77.8
20141205,19,AQI,41
20141205,20,PM2.5,92.9
20141205,20,AQI,41
20141205,21,PM2.5,103.6
20141205,21,AQI,42
20141205,22,PM2.5,106.7
20141205,22,AQI,48
20141205,23,PM2.5,105.7
20141205,23,AQI,53
