date,hour,type,dongsi
20141022,0,PM2.5,42
20141022,0,AQI,72
20141022,1,PM2.5,28.2
20141022,1,AQI,71
20141022,2,PM2.5,31.4
20141022,2,AQI,72
20141022,3,PM2.5,30.6
20141022,3,AQI,73
20141022,4,PM2.5,29.8
20141022,4,AQI,74
20141022,5,PM2.5,56.2
20141022,5,AQI,75
20141022,6,PM2.5,60.6
20141022,6,AQI,77
20141022,7,PM2.5,60
20141022,7,AQI,79
20141022,8,PM2.5,55.9
20141022,8,AQI,81
20141022,9,PM2.5,47.9
20141022,9,AQI,82
20141022,10,PM2.5,55.2
20141022,10,AQI,83
20141022,11,PM2.5,69.3
20141022,11,AQI,86
20141022,12,PM2.5,74
20141022,12,AQI,87
20141022,13,PM2.5,71
20141022,13,AQI,88
20141022,14,PM2.5,63.1
20141022,14,AQI,90
20141022,15,PM2.5,63.7
20141022,15,AQI,92
20141022,16,PM2.5,70.2
20141022,16,AQI,93
20141022,17,PM2.5,64.3
20141022,17,AQI,94
20141022,18,PM2.5,59.3
20141022,18,AQI,94
20141022,19,PM2.5,62.4
20141022,19,AQI,94
20141022,20,PM2.5,86.4
20141022,20,AQI,95
20141022,21,PM2.5,94.6
20141022,21,AQI,96
20141022,22,PM2.5,88.1
20141022,22,AQI,96
20141022,23,PM2.5,88.7
20141022,23,AQI,97
