date,hour,type,dongsi
20141006,0,PM2.5,27.3
20141006,0,AQI,43
20141006,1,PM2.5,30.3
20141006,1,AQI,41
20141006,2,PM2.5,20.7
20141006,2,AQI,38
20141006,3,PM2.5,15.5
20141006,3,AQI,35
20141006,4,PM2.5,7.9
20141006,4,AQI,35
20141006,5,PM2.5,3.7
20141006,5,AQI,33
20141006,6,PM2.5,6.5
20141006,6,AQI,31
20141006,7,PM2.5,10
20141006,7,AQI,29
20141006,8,PM2.5,11.6
20141006,8,AQI,25
20141006,9,PM2.5,14.4
20141006,9,AQI,40
20141006,10,PM2.5,11.5
20141006,10,AQI,43
20141006,11,PM2.5,12.1
20141006,11,AQI,44
20141006,12,PM2.5,15.4
20141006,12,AQI,45
20141006,13,PM2.5,14.7
20141006,13,AQI,45
20141006,14,PM2.5,14
20141006,14,AQI,45
20141006,15,PM2.5,14.7
20141006,15,AQI,44
20141006,16,PM2.5,15.1
20141006,16,AQI,44
20141006,17,PM2.5,20.5
20141006,17,AQI,46
20141006,18,PM2.5,29.4
20141006,18,AQI,48
20141006,19,PM2.5,43.6
20141006,19,AQI,50
20141006,20,PM2.5,58.4
20141006,20,AQI,51
20141006,21,PM2.5,70.8
20141006,21,AQI,52
20141006,22,PM2.5,78.6
20141006,22,AQI,54
20141006,23,PM2.5,88.5
20141006,23,AQI,56
