date,hour,type,dongsi
20140113,0,PM2.5,66
20140113,0,AQI,36
20140113,1,PM2.5,74
20140113,1,AQI,39
20140113,2,PM2.5,89
20140113,2,AQI,44
20140113,3,PM2.5,97
20140113,3,AQI,48
20140113,4,PM2.5,101
20140113,4,AQI,53
20140113,5,PM2.5,90
20140113,5,AQI,57
20140113,6,PM2.5,75
20140113,6,AQI,60
20140113,7,PM2.5,57
20140113,7,AQI,63
20140113,8,PM2.5,60
20140113,8,AQI,65
20140113,9,PM2.5,80
20140113,9,AQI,69
20140113,10,PM2.5,80
20140113,10,AQI,72
20140113,11,PM2.5,106
20140113,11,AQI,77
20140113,12,PM2.5,106
20140113,12,AQI,81
20140113,13,PM2.5,74
20140113,13,AQI,85
20140113,14,PM2.5,79
20140113,14,AQI,88
20140113,15,PM2.5,81
20140113,15,AQI,92
20140113,16,PM2.5,80
20140113,16,AQI,95
20140113,17,PM2.5,121
20140113,17,AQI,100
20140113,18,PM2.5,120
20140113,18,AQI,105
20140113,19,PM2.5,131
20140113,19,AQI,110
20140113,20,PM2.5,163
20140113,20,AQI,116
20140113,21,PM2.5,169
20140113,21,AQI,122
20140113,22,PM2.5,183
20140113,22,AQI,128
20140113,23,PM2.5,212
20140113,23,AQI,136
