date,hour,type,dongsi
20141113,0,PM2.5,3
20141113,0,AQI,52
20141113,1,PM2.5,3
20141113,1,AQI,52
20141113,2,PM2.5,15.4
20141113,2,AQI,53
20141113,3,PM2.5,6.8
20141113,3,AQI,52
20141113,4,PM2.5,6.6
20141113,4,AQI,51
20141113,5,PM2.5,3
20141113,5,AQI,51
20141113,6,PM2.5,8.2
20141113,6,AQI,50
20141113,7,PM2.5,11.2
20141113,7,AQI,49
20141113,8,PM2.5,27
20141113,8,AQI,50
20141113,9,PM2.5,33.6
20141113,9,AQI,52
20141113,10,PM2.5,37.4
20141113,10,AQI,53
20141113,11,PM2.5,26.4
20141113,11,AQI,53
20141113,12,PM2.5,19
20141113,12,AQI,53
20141113,13,PM2.5,27.6
20141113,13,AQI,51
20141113,14,PM2.5,19.9
20141113,14,AQI,49
20141113,15,PM2.5,21.7
20141113,15,AQI,47
20141113,16,PM2.5,14.8
20141113,16,AQI,46
20141113,17,PM2.5,13.1
20141113,17,AQI,45
20141113,18,PM2.5,19.1
20141113,18,AQI,44
20141113,19,PM2.5,27.3
20141113,19,AQI,44
20141113,20,PM2.5,28
20141113,20,AQI,45
20141113,21,PM2.5,34.8
20141113,21,AQI,48
20141113,22,PM2.5,40
20141113,22,AQI,50
20141113,23,PM2.5,35.1
20141113,23,AQI,51
