date,hour,type,dongsi
20141014,0,PM2.5,45.5
20141014,0,AQI,44
20141014,1,PM2.5,49
20141014,1,AQI,49
20141014,2,PM2.5,29.3
20141014,2,AQI,51
20141014,3,PM2.5,26.7
20141014,3,AQI,52
20141014,4,PM2.5,30.7
20141014,4,AQI,53
20141014,5,PM2.5,25.4
20141014,5,AQI,55
20141014,6,PM2.5,12
20141014,6,AQI,55
20141014,7,PM2.5,15.3
20141014,7,AQI,56
20141014,8,PM2.5,17.2
20141014,8,AQI,57
20141014,9,PM2.5,14.5
20141014,9,AQI,57
20141014,10,PM2.5,21.7
20141014,10,AQI,59
20141014,11,PM2.5,32.1
20141014,11,AQI,59
20141014,12,PM2.5,33.8
20141014,12,AQI,58
20141014,13,PM2.5,39.6
20141014,13,AQI,59
20141014,14,PM2.5,47.2
20141014,14,AQI,60
20141014,15,PM2.5,35.8
20141014,15,AQI,61
20141014,16,PM2.5,30.5
20141014,16,AQI,62
20141014,17,PM2.5,31.1
20141014,17,AQI,63
20141014,18,PM2.5,43.7
20141014,18,AQI,64
20141014,19,PM2.5,58.2
20141014,19,AQI,65
20141014,20,PM2.5,63.7
20141014,20,AQI,66
20141014,21,PM2.5,77.3
20141014,21,AQI,68
20141014,22,PM2.5,100.7
20141014,22,AQI,69
20141014,23,PM2.5,112.7
20141014,23,AQI,71
