date,hour,type,dongsi
20140814,0,PM2.5,28
20140814,0,AQI,41
20140814,1,PM2.5,27.1
20140814,1,AQI,42
20140814,2,PM2.5,26.2
20140814,2,AQI,42
20140814,3,PM2.5,24.7
20140814,3,AQI,42
20140814,4,PM2.5,25.7
20140814,4,AQI,42
20140814,5,PM2.5,29.9
20140814,5,AQI,43
20140814,6,PM2.5,30.5
20140814,6,AQI,42
20140814,7,PM2.5,35.1
20140814,7,AQI,42
20140814,8,PM2.5,36.8
20140814,8,AQI,42
20140814,9,PM2.5,31.1
20140814,9,AQI,42
20140814,10,PM2.5,32.6
20140814,10,AQI,41
20140814,11,PM2.5,26.4
20140814,11,AQI,40
20140814,12,PM2.5,34.1
20140814,12,AQI,40
20140814,13,PM2.5,51
20140814,13,AQI,41
20140814,14,PM2.5,63.9
20140814,14,AQI,83
20140814,15,PM2.5,47.3
20140814,15,AQI,89
20140814,16,PM2.5,34.4
20140814,16,AQI,63
20140814,17,PM2.5,29.6
20140814,17,AQI,64
20140814,18,PM2.5,36.6
20140814,18,AQI,49
20140814,19,PM2.5,34.2
20140814,19,AQI,48
20140814,20,PM2.5,39.3
20140814,20,AQI,48
20140814,21,PM2.5,33
20140814,21,AQI,49
20140814,22,PM2.5,26.3
20140814,22,AQI,49
20140814,23,PM2.5,33.7
20140814,23,AQI,49
