date,hour,type,dongsi
20140714,0,PM2.5,36.6
20140714,0,AQI,53
20140714,1,PM2.5,57.8
20140714,1,AQI,62
20140714,2,PM2.5,53.8
20140714,2,AQI,56
20140714,3,PM2.5,38.2
20140714,3,AQI,46
20140714,4,PM2.5,29.5
20140714,4,AQI,37
20140714,5,PM2.5,22.4
20140714,5,AQI,32
20140714,6,PM2.5,21.3
20140714,6,AQI,30
20140714,7,PM2.5,20.8
20140714,7,AQI,31
20140714,8,PM2.5,22.7
20140714,8,AQI,32
20140714,9,PM2.5,19.3
20140714,9,AQI,33
20140714,10,PM2.5,18.9
20140714,10,AQI,34
20140714,11,PM2.5,19.6
20140714,11,AQI,35
20140714,12,PM2.5,19
20140714,12,AQI,41
20140714,13,PM2.5,22
20140714,13,AQI,64
20140714,14,PM2.5,31.3
20140714,14,AQI,109
20140714,15,PM2.5,30.8
20140714,15,AQI,113
20140714,16,PM2.5,35.5
20140714,16,AQI,109
20140714,17,PM2.5,33.7
20140714,17,AQI,117
20140714,18,PM2.5,31.7
20140714,18,AQI,111
20140714,19,PM2.5,31.5
20140714,19,AQI,84
20140714,20,PM2.5,36
20140714,20,AQI,51
20140714,21,PM2.5,44.4
20140714,21,AQI,45
20140714,22,PM2.5,13.4
20140714,22,AQI,44
20140714,23,PM2.5,12.5
20140714,23,AQI,42
