date,hour,type,dongsi
20141217,0,PM2.5,6.7
20141217,0,AQI,42
20141217,1,PM2.5,3
20141217,1,AQI,42
20141217,2,PM2.5,3
20141217,2,AQI,42
20141217,3,PM2.5,13.2
20141217,3,AQI,43
20141217,4,PM2.5,20.2
20141217,4,AQI,45
20141217,5,PM2.5,25.4
20141217,5,AQI,48
20141217,6,PM2.5,34.6
20141217,6,AQI,51
20141217,7,PM2.5,45
20141217,7,AQI,52
20141217,8,PM2.5,57.1
20141217,8,AQI,54
20141217,9,PM2.5,63.5
20141217,9,AQI,56
20141217,10,PM2.5,70.4
20141217,10,AQI,56
20141217,11,PM2.5,73.9
20141217,11,AQI,58
20141217,12,PM2.5,62.5
20141217,12,AQI,59
20141217,13,PM2.5,62
20141217,13,AQI,59
20141217,14,PM2.5,67.7
20141217,14,AQI,61
20141217,15,PM2.5,58.4
20141217,15,AQI,62
20141217,16,PM2.5,49.8
20141217,16,AQI,63
20141217,17,PM2.5,60.1
20141217,17,AQI,65
20141217,18,PM2.5,50.3
20141217,18,AQI,66
20141217,19,PM2.5,76.8
20141217,19,AQI,68
20141217,20,PM2.5,101.3
20141217,20,AQI,71
20141217,21,PM2.5,156.5
20141217,21,AQI,76
20141217,22,PM2.5,171.6
20141217,22,AQI,81
20141217,23,PM2.5,148
20141217,23,AQI,85
