date,hour,type,dongsi
20140123,0,PM2.5,220
20140123,0,AQI,177
20140123,1,PM2.5,244
20140123,1,AQI,183
20140123,2,PM2.5,268
20140123,2,AQI,192
20140123,3,PM2.5,296
20140123,3,AQI,200
20140123,4,PM2.5,309
20140123,4,AQI,207
20140123,5,PM2.5,273
20140123,5,AQI,214
20140123,6,PM2.5,252
20140123,6,AQI,220
20140123,7,PM2.5,211
20140123,7,AQI,226
20140123,8,PM2.5,195
20140123,8,AQI,230
20140123,9,PM2.5,181
20140123,9,AQI,234
20140123,10,PM2.5,
20140123,10,AQI,
20140123,11,PM2.5,208
20140123,11,AQI,244
20140123,12,PM2.5,214
20140123,12,AQI,248
20140123,13,PM2.5,217
20140123,13,AQI,253
20140123,14,PM2.5,212
20140123,14,AQI,257
20140123,15,PM2.5,210
20140123,15,AQI,261
20140123,16,PM2.5,218
20140123,16,AQI,265
20140123,17,PM2.5,223
20140123,17,AQI,270
20140123,18,PM2.5,269
20140123,18,AQI,274
20140123,19,PM2.5,264
20140123,19,AQI,278
20140123,20,PM2.5,294
20140123,20,AQI,282
20140123,21,PM2.5,276
20140123,21,AQI,286
20140123,22,PM2.5,279
20140123,22,AQI,290
20140123,23,PM2.5,272
20140123,23,AQI,294
