date,hour,type,dongsi
20140329,0,PM2.5,215
20140329,0,AQI,177
20140329,1,PM2.5,179
20140329,1,AQI,179
20140329,2,PM2.5,72
20140329,2,AQI,175
20140329,3,PM2.5,25
20140329,3,AQI,167
20140329,4,PM2.5,17
20140329,4,AQI,158
20140329,5,PM2.5,17
20140329,5,AQI,149
20140329,6,PM2.5,17
20140329,6,AQI,141
20140329,7,PM2.5,21
20140329,7,AQI,134
20140329,8,PM2.5,23
20140329,8,AQI,127
20140329,9,PM2.5,19
20140329,9,AQI,122
20140329,10,PM2.5,23
20140329,10,AQI,115
20140329,11,PM2.5,18
20140329,11,AQI,110
20140329,12,PM2.5,19
20140329,12,AQI,106
20140329,13,PM2.5,21
20140329,13,AQI,103
20140329,14,PM2.5,16
20140329,14,AQI,101
20140329,15,PM2.5,18
20140329,15,AQI,99
20140329,16,PM2.5,24
20140329,16,AQI,98
20140329,17,PM2.5,23
20140329,17,AQI,95
20140329,18,PM2.5,23
20140329,18,AQI,90
20140329,19,PM2.5,31
20140329,19,AQI,85
20140329,20,PM2.5,36
20140329,20,AQI,79
20140329,21,PM2.5,46
20140329,21,AQI,72
20140329,22,PM2.5,55
20140329,22,AQI,68
20140329,23,PM2.5,54
20140329,23,AQI,67
