date,hour,type,dongsi
20140612,0,PM2.5,30
20140612,0,AQI,51
20140612,1,PM2.5,31.3
20140612,1,AQI,48
20140612,2,PM2.5,36.6
20140612,2,AQI,45
20140612,3,PM2.5,41
20140612,3,AQI,51
20140612,4,PM2.5,42.6
20140612,4,AQI,57
20140612,5,PM2.5,33.3
20140612,5,AQI,40
20140612,6,PM2.5,20.2
20140612,6,AQI,32
20140612,7,PM2.5,17.2
20140612,7,AQI,32
20140612,8,PM2.5,21.7
20140612,8,AQI,33
20140612,9,PM2.5,24.5
20140612,9,AQI,31
20140612,10,PM2.5,18.1
20140612,10,AQI,30
20140612,11,PM2.5,10.9
20140612,11,AQI,34
20140612,12,PM2.5,12.4
20140612,12,AQI,42
20140612,13,PM2.5,13.5
20140612,13,AQI,46
20140612,14,PM2.5,13.6
20140612,14,AQI,45
20140612,15,PM2.5,9.3
20140612,15,AQI,56
20140612,20,PM2.5,34.9
20140612,20,AQI,60
20140612,21,PM2.5,37.6
20140612,21,AQI,60
20140612,22,PM2.5,40.4
20140612,22,AQI,62
20140612,23,PM2.5,32.8
20140612,23,AQI,62
