date,hour,type,dongsi
20140523,0,PM2.5,61
20140523,0,AQI,190
20140523,1,PM2.5,66
20140523,1,AQI,186
20140523,2,PM2.5,74.9
20140523,2,AQI,181
20140523,3,PM2.5,79.3
20140523,3,AQI,175
20140523,4,PM2.5,87.5
20140523,4,AQI,167
20140523,5,PM2.5,105.5
20140523,5,AQI,159
20140523,6,PM2.5,112.6
20140523,6,AQI,154
20140523,7,PM2.5,108.4
20140523,7,AQI,147
20140523,8,PM2.5,107
20140523,8,AQI,139
20140523,9,PM2.5,105.9
20140523,9,AQI,130
20140523,10,PM2.5,107.8
20140523,10,AQI,120
20140523,11,PM2.5,89.6
20140523,11,AQI,110
20140523,12,PM2.5,89.3
20140523,12,AQI,113
20140523,13,PM2.5,69.1
20140523,13,AQI,111
20140523,14,PM2.5,52.2
20140523,14,AQI,107
20140523,15,PM2.5,42.5
20140523,15,AQI,99
20140523,16,PM2.5,38.4
20140523,16,AQI,99
20140523,17,PM2.5,46.7
20140523,17,AQI,102
20140523,18,PM2.5,50.4
20140523,18,AQI,101
20140523,19,PM2.5,47.9
20140523,19,AQI,100
20140523,20,PM2.5,52
20140523,20,AQI,100
20140523,21,PM2.5,63.6
20140523,21,AQI,100
20140523,22,PM2.5,68
20140523,22,AQI,101
20140523,23,PM2.5,87.1
20140523,23,AQI,102
