date,hour,type,dongsi
20140131,0,PM2.5,122
20140131,0,AQI,87
20140131,1,PM2.5,279
20140131,1,AQI,91
20140131,2,PM2.5,374
20140131,2,AQI,99
20140131,3,PM2.5,279
20140131,3,AQI,107
20140131,4,PM2.5,199
20140131,4,AQI,113
20140131,5,PM2.5,163
20140131,5,AQI,121
20140131,6,PM2.5,109
20140131,6,AQI,125
20140131,7,PM2.5,99
20140131,7,AQI,130
20140131,8,PM2.5,95
20140131,8,AQI,134
20140131,9,PM2.5,104
20140131,9,AQI,139
20140131,10,PM2.5,87
20140131,10,AQI,143
20140131,11,PM2.5,78
20140131,11,AQI,146
20140131,12,PM2.5,63
20140131,12,AQI,148
20140131,13,PM2.5,69
20140131,13,AQI,151
20140131,14,PM2.5,90
20140131,14,AQI,156
20140131,15,PM2.5,114
20140131,15,AQI,161
20140131,16,PM2.5,128
20140131,16,AQI,168
20140131,17,PM2.5,130
20140131,17,AQI,175
20140131,18,PM2.5,136
20140131,18,AQI,180
20140131,19,PM2.5,130
20140131,19,AQI,185
20140131,20,PM2.5,145
20140131,20,AQI,187
20140131,21,PM2.5,150
20140131,21,AQI,189
20140131,22,PM2.5,148
20140131,22,AQI,190
20140131,23,PM2.5,163
20140131,23,AQI,191
