date,hour,type,dongsi
20131215,0,PM2.5,49
20131215,0,AQI,71
20131215,1,PM2.5,36
20131215,1,AQI,71
20131215,2,PM2.5,33
20131215,2,AQI,68
20131215,3,PM2.5,51
20131215,3,AQI,66
20131215,4,PM2.5,34
20131215,4,AQI,66
20131215,5,PM2.5,14
20131215,5,AQI,65
20131215,6,PM2.5,15
20131215,6,AQI,65
20131215,7,PM2.5,7
20131215,7,AQI,64
20131215,8,PM2.5,17
20131215,8,AQI,64
20131215,9,PM2.5,13
20131215,9,AQI,64
20131215,10,PM2.5,16
20131215,10,AQI,64
20131215,11,PM2.5,18
20131215,11,AQI,64
20131215,12,PM2.5,13
20131215,12,AQI,64
20131215,13,PM2.5,26
20131215,13,AQI,64
20131215,14,PM2.5,38
20131215,14,AQI,65
20131215,15,PM2.5,38
20131215,15,AQI,66
20131215,16,PM2.5,41
20131215,16,AQI,65
20131215,17,PM2.5,46
20131215,17,AQI,62
20131215,18,PM2.5,57
20131215,18,AQI,58
20131215,19,PM2.5,72
20131215,19,AQI,55
20131215,20,PM2.5,84
20131215,20,AQI,53
20131215,21,PM2.5,99
20131215,21,AQI,53
20131215,22,PM2.5,102
20131215,22,AQI,57
20131215,23,PM2.5,84
20131215,23,AQI,58
