date,hour,type,dongsi
20140214,0,PM2.5,235
20140214,0,AQI,242
20140214,1,PM2.5,230
20140214,1,AQI,242
20140214,2,PM2.5,241
20140214,2,AQI,244
20140214,3,PM2.5,233
20140214,3,AQI,247
20140214,4,PM2.5,226
20140214,4,AQI,250
20140214,5,PM2.5,220
20140214,5,AQI,253
20140214,6,PM2.5,232
20140214,6,AQI,256
20140214,7,PM2.5,212
20140214,7,AQI,259
20140214,8,PM2.5,177
20140214,8,AQI,259
20140214,9,PM2.5,170
20140214,9,AQI,259
20140214,10,PM2.5,177
20140214,10,AQI,258
20140214,11,PM2.5,185
20140214,11,AQI,258
20140214,12,PM2.5,202
20140214,12,AQI,258
20140214,13,PM2.5,224
20140214,13,AQI,260
20140214,14,PM2.5,242
20140214,14,AQI,263
20140214,15,PM2.5,258
20140214,15,AQI,266
20140214,16,PM2.5,282
20140214,16,AQI,270
20140214,17,PM2.5,303
20140214,17,AQI,275
20140214,18,PM2.5,294
20140214,18,AQI,279
20140214,19,PM2.5,301
20140214,19,AQI,282
20140214,20,PM2.5,366
20140214,20,AQI,288
20140214,21,PM2.5,504
20140214,21,AQI,299
20140214,22,PM2.5,684
20140214,22,AQI,318
20140214,23,PM2.5,737
20140214,23,AQI,339
