date,hour,type,dongsi
20141018,0,PM2.5,189.8
20141018,0,AQI,138
20141018,1,PM2.5,177.3
20141018,1,AQI,143
20141018,2,PM2.5,170.7
20141018,2,AQI,148
20141018,3,PM2.5,147.7
20141018,3,AQI,152
20141018,4,PM2.5,125.5
20141018,4,AQI,154
20141018,5,PM2.5,111.8
20141018,5,AQI,156
20141018,6,PM2.5,96.3
20141018,6,AQI,157
20141018,7,PM2.5,81.8
20141018,7,AQI,158
20141018,8,PM2.5,79.8
20141018,8,AQI,158
20141018,9,PM2.5,81
20141018,9,AQI,158
20141018,10,PM2.5,83.8
20141018,10,AQI,158
20141018,11,PM2.5,101.7
20141018,11,AQI,159
20141018,12,PM2.5,122.5
20141018,12,AQI,162
20141018,13,PM2.5,166.2
20141018,13,AQI,166
20141018,14,PM2.5,174.8
20141018,14,AQI,171
20141018,15,PM2.5,202.1
20141018,15,AQI,177
20141018,16,PM2.5,220.3
20141018,16,AQI,183
20141018,17,PM2.5,219.5
20141018,17,AQI,190
20141018,18,PM2.5,219.3
20141018,18,AQI,197
20141018,19,PM2.5,239.5
20141018,19,AQI,203
20141018,20,PM2.5,265.3
20141018,20,AQI,208
20141018,21,PM2.5,288.4
20141018,21,AQI,213
20141018,22,PM2.5,279
20141018,22,AQI,218
20141018,23,PM2.5,288.4
20141018,23,AQI,223
