date,hour,type,dongsi
20140505,0,PM2.5,23.5
20140505,0,AQI,60
20140505,1,PM2.5,26.1
20140505,1,AQI,60
20140505,2,PM2.5,23.4
20140505,2,AQI,61
20140505,3,PM2.5,40.5
20140505,3,AQI,62
20140505,4,PM2.5,
20140505,4,AQI,
20140505,5,PM2.5,19.6
20140505,5,AQI,64
20140505,6,PM2.5,13.9
20140505,6,AQI,66
20140505,7,PM2.5,9.9
20140505,7,AQI,66
20140505,8,PM2.5,9.1
20140505,8,AQI,65
20140505,9,PM2.5,6.9
20140505,9,AQI,65
20140505,10,PM2.5,3.4
20140505,10,AQI,63
20140505,11,PM2.5,5.2
20140505,11,AQI,60
20140505,12,PM2.5,8.8
20140505,12,AQI,59
20140505,13,PM2.5,13.5
20140505,13,AQI,56
20140505,14,PM2.5,7.2
20140505,14,AQI,52
20140505,15,PM2.5,5.7
20140505,15,AQI,52
20140505,16,PM2.5,8.8
20140505,16,AQI,52
20140505,17,PM2.5,9
20140505,17,AQI,52
20140505,18,PM2.5,13
20140505,18,AQI,52
20140505,19,PM2.5,12
20140505,19,AQI,53
20140505,20,PM2.5,15.7
20140505,20,AQI,53
20140505,21,PM2.5,17.5
20140505,21,AQI,54
20140505,22,PM2.5,19.2
20140505,22,AQI,54
20140505,23,PM2.5,36.3
20140505,23,AQI,55
