date,hour,type,dongsi
20141110,0,PM2.5,88
20141110,0,AQI,69
20141110,1,PM2.5,87.4
20141110,1,AQI,69
20141110,2,PM2.5,82.7
20141110,2,AQI,70
20141110,3,PM2.5,78.4
20141110,3,AQI,69
20141110,4,PM2.5,56.2
20141110,4,AQI,68
20141110,5,PM2.5,26.2
20141110,5,AQI,66
20141110,6,PM2.5,24
20141110,6,AQI,65
20141110,7,PM2.5,24.2
20141110,7,AQI,65
20141110,8,PM2.5,32
20141110,8,AQI,65
20141110,9,PM2.5,38.3
20141110,9,AQI,66
20141110,10,PM2.5,32
20141110,10,AQI,67
20141110,11,PM2.5,16.6
20141110,11,AQI,66
20141110,12,PM2.5,28.3
20141110,12,AQI,66
20141110,13,PM2.5,31.8
20141110,13,AQI,67
20141110,14,PM2.5,37.7
20141110,14,AQI,67
20141110,15,PM2.5,44.6
20141110,15,AQI,67
20141110,16,PM2.5,55
20141110,16,AQI,69
20141110,17,PM2.5,61.4
20141110,17,AQI,70
20141110,18,PM2.5,64
20141110,18,AQI,72
20141110,19,PM2.5,92
20141110,19,AQI,74
20141110,20,PM2.5,132
20141110,20,AQI,78
20141110,21,PM2.5,125.2
20141110,21,AQI,81
20141110,22,PM2.5,125.3
20141110,22,AQI,83
20141110,23,PM2.5,123.4
20141110,23,AQI,85
