date,hour,type,dongsi
20141020,0,PM2.5,132.4
20141020,0,AQI,283
20141020,1,PM2.5,134.9
20141020,1,AQI,276
20141020,2,PM2.5,139.5
20141020,2,AQI,269
20141020,3,PM2.5,143.9
20141020,3,AQI,263
20141020,4,PM2.5,137.5
20141020,4,AQI,255
20141020,5,PM2.5,146.8
20141020,5,AQI,248
20141020,6,PM2.5,221.5
20141020,6,AQI,243
20141020,7,PM2.5,233.5
20141020,7,AQI,239
20141020,8,PM2.5,193.1
20141020,8,AQI,235
20141020,9,PM2.5,186
20141020,9,AQI,230
20141020,10,PM2.5,207.8
20141020,10,AQI,226
20141020,11,PM2.5,214.5
20141020,11,AQI,221
20141020,12,PM2.5,225.9
20141020,12,AQI,220
20141020,13,PM2.5,245.9
20141020,13,AQI,223
20141020,14,PM2.5,254.6
20141020,14,AQI,226
20141020,15,PM2.5,230
20141020,15,AQI,228
20141020,16,PM2.5,200.5
20141020,16,AQI,231
20141020,17,PM2.5,188.7
20141020,17,AQI,233
20141020,18,PM2.5,198.3
20141020,18,AQI,236
20141020,19,PM2.5,212.2
20141020,19,AQI,239
20141020,20,PM2.5,204.9
20141020,20,AQI,238
20141020,21,PM2.5,187.7
20141020,21,AQI,239
20141020,22,PM2.5,134.2
20141020,22,AQI,238
20141020,23,PM2.5,72
20141020,23,AQI,236
