date,hour,type,dongsi
20150122,0,PM2.5,31.8
20150122,0,AQI,35
20150122,1,PM2.5,33
20150122,1,AQI,35
20150122,2,PM2.5,56.2
20150122,2,AQI,38
20150122,3,PM2.5,52.4
20150122,3,AQI,37
20150122,4,PM2.5,26.4
20150122,4,AQI,36
20150122,5,PM2.5,31.1
20150122,5,AQI,37
20150122,6,PM2.5,31.9
20150122,6,AQI,37
20150122,7,PM2.5,27.6
20150122,7,AQI,37
20150122,8,PM2.5,41.7
20150122,8,AQI,39
20150122,9,PM2.5,57.4
20150122,9,AQI,42
20150122,10,PM2.5,84
20150122,10,AQI,47
20150122,11,PM2.5,
20150122,11,AQI,52
20150122,12,PM2.5,
20150122,12,AQI,53
20150122,13,PM2.5,106.8
20150122,13,AQI,57
20150122,14,PM2.5,159.7
20150122,14,AQI,59
20150122,15,PM2.5,135.9
20150122,15,AQI,66
20150122,16,PM2.5,115.4
20150122,16,AQI,72
20150122,17,PM2.5,173.8
20150122,17,AQI,81
20150122,18,PM2.5,257.6
20150122,18,AQI,95
20150122,19,PM2.5,219.9
20150122,19,AQI,107
20150122,20,PM2.5,208.1
20150122,20,AQI,117
20150122,21,PM2.5,203.9
20150122,21,AQI,127
20150122,22,PM2.5,208
20150122,22,AQI,137
20150122,23,PM2.5,210.6
20150122,23,AQI,147
