date,hour,type,dongsi
20140410,0,PM2.5,126
20140410,0,AQI,149
20140410,1,PM2.5,119
20140410,1,AQI,152
20140410,2,PM2.5,95
20140410,2,AQI,157
20140410,3,PM2.5,90
20140410,3,AQI,163
20140410,4,PM2.5,90
20140410,4,AQI,169
20140410,5,PM2.5,93
20140410,5,AQI,176
20140410,6,PM2.5,89
20140410,6,AQI,183
20140410,7,PM2.5,88
20140410,7,AQI,190
20140410,8,PM2.5,78
20140410,8,AQI,197
20140410,9,PM2.5,78
20140410,9,AQI,211
20140410,10,PM2.5,66
20140410,10,AQI,233
20140410,11,PM2.5,69
20140410,11,AQI,263
20140410,12,PM2.5,56
20140410,12,AQI,289
20140410,13,PM2.5,59
20140410,13,AQI,308
20140410,14,PM2.5,52
20140410,14,AQI,318
20140410,15,PM2.5,35
20140410,15,AQI,322
20140410,16,PM2.5,60
20140410,16,AQI,325
20140410,17,PM2.5,74
20140410,17,AQI,318
20140410,18,PM2.5,47
20140410,18,AQI,311
20140410,19,PM2.5,
20140410,19,AQI,299
20140410,20,PM2.5,57
20140410,20,AQI,283
20140410,21,PM2.5,62
20140410,21,AQI,286
20140410,22,PM2.5,62
20140410,22,AQI,279
20140410,23,PM2.5,64
20140410,23,AQI,272
