date,hour,type,dongsi
20141222,0,PM2.5,57.3
20141222,0,AQI,45
20141222,1,PM2.5,62.3
20141222,1,AQI,50
20141222,2,PM2.5,69.6
20141222,2,AQI,53
20141222,3,PM2.5,77.3
20141222,3,AQI,56
20141222,4,PM2.5,86.2
20141222,4,AQI,60
20141222,5,PM2.5,85.9
20141222,5,AQI,63
20141222,6,PM2.5,96.9
20141222,6,AQI,66
20141222,7,PM2.5,94
20141222,7,AQI,70
20141222,8,PM2.5,86.1
20141222,8,AQI,73
20141222,9,PM2.5,84.2
20141222,9,AQI,76
20141222,10,PM2.5,74.8
20141222,10,AQI,78
20141222,11,PM2.5,29.5
20141222,11,AQI,78
20141222,12,PM2.5,27.8
20141222,12,AQI,78
20141222,13,PM2.5,36.9
20141222,13,AQI,79
20141222,14,PM2.5,69.1
20141222,14,AQI,80
20141222,15,PM2.5,60
20141222,15,AQI,81
20141222,16,PM2.5,48.5
20141222,16,AQI,82
20141222,17,PM2.5,37.8
20141222,17,AQI,83
20141222,18,PM2.5,55.8
20141222,18,AQI,84
20141222,19,PM2.5,65
20141222,19,AQI,84
20141222,20,PM2.5,85.6
20141222,20,AQI,86
20141222,21,PM2.5,104.7
20141222,21,AQI,89
20141222,22,PM2.5,102.1
20141222,22,AQI,92
20141222,23,PM2.5,102.8
20141222,23,AQI,95
