date,hour,type,dongsi
20140531,0,PM2.5,72.1
20140531,0,AQI,124
20140531,1,PM2.5,75.3
20140531,1,AQI,123
20140531,2,PM2.5,74.9
20140531,2,AQI,123
20140531,3,PM2.5,79.3
20140531,3,AQI,122
20140531,4,PM2.5,81.8
20140531,4,AQI,121
20140531,5,PM2.5,88.5
20140531,5,AQI,120
20140531,6,PM2.5,93.7
20140531,6,AQI,122
20140531,7,PM2.5,90.8
20140531,7,AQI,122
20140531,8,PM2.5,96.3
20140531,8,AQI,123
20140531,9,PM2.5,98.9
20140531,9,AQI,123
20140531,10,PM2.5,109.7
20140531,10,AQI,124
20140531,11,PM2.5,122.2
20140531,11,AQI,125
20140531,12,PM2.5,135.6
20140531,12,AQI,126
20140531,13,PM2.5,131.6
20140531,13,AQI,127
20140531,14,PM2.5,131.9
20140531,14,AQI,129
20140531,15,PM2.5,138
20140531,15,AQI,130
20140531,16,PM2.5,139.2
20140531,16,AQI,131
20140531,17,PM2.5,133
20140531,17,AQI,133
20140531,18,PM2.5,135.6
20140531,18,AQI,135
20140531,19,PM2.5,134.2
20140531,19,AQI,137
20140531,20,PM2.5,137.9
20140531,20,AQI,140
20140531,21,PM2.5,136.7
20140531,21,AQI,142
20140531,22,PM2.5,99.1
20140531,22,AQI,143
20140531,23,PM2.5,73.5
20140531,23,AQI,143
