date,hour,type,dongsi
20140420,0,PM2.5,85
20140420,0,AQI,101
20140420,1,PM2.5,95
20140420,1,AQI,110
20140420,2,PM2.5,77
20140420,2,AQI,111
20140420,3,PM2.5,106
20140420,3,AQI,119
20140420,4,PM2.5,110
20140420,4,AQI,127
20140420,5,PM2.5,107
20140420,5,AQI,131
20140420,6,PM2.5,109
20140420,6,AQI,141
20140420,7,PM2.5,91
20140420,7,AQI,137
20140420,8,PM2.5,83
20140420,8,AQI,
20140420,9,PM2.5,54
20140420,9,AQI,111
20140420,10,PM2.5,58
20140420,10,AQI,96
20140420,11,PM2.5,34
20140420,11,AQI,78
20140420,12,PM2.5,30
20140420,12,AQI,
20140420,13,PM2.5,21
20140420,13,AQI,51
20140420,14,PM2.5,22
20140420,14,AQI,38
20140420,15,PM2.5,24
20140420,15,AQI,
20140420,16,PM2.5,53
20140420,16,AQI,43
20140420,17,PM2.5,54
20140420,17,AQI,54
20140420,18,PM2.5,57
20140420,18,AQI,65
20140420,19,PM2.5,45
20140420,19,AQI,71
20140420,20,PM2.5,65
20140420,20,AQI,75
20140420,21,PM2.5,149
20140420,21,AQI,105
20140420,22,PM2.5,127
20140420,22,AQI,127
