date,hour,type,dongsi
20140314,0,PM2.5,26
20140314,0,AQI,62
20140314,1,PM2.5,23
20140314,1,AQI,65
20140314,2,PM2.5,14
20140314,2,AQI,66
20140314,3,PM2.5,12
20140314,3,AQI,68
20140314,4,PM2.5,8
20140314,4,AQI,68
20140314,5,PM2.5,8
20140314,5,AQI,68
20140314,6,PM2.5,8
20140314,6,AQI,68
20140314,7,PM2.5,10
20140314,7,AQI,69
20140314,8,PM2.5,11
20140314,8,AQI,68
20140314,9,PM2.5,10
20140314,9,AQI,69
20140314,10,PM2.5,12
20140314,10,AQI,69
20140314,11,PM2.5,17
20140314,11,AQI,68
20140314,12,PM2.5,10
20140314,12,AQI,69
20140314,13,PM2.5,20
20140314,13,AQI,69
20140314,14,PM2.5,21
20140314,14,AQI,69
20140314,15,PM2.5,18
20140314,15,AQI,70
20140314,16,PM2.5,20
20140314,16,AQI,70
20140314,17,PM2.5,20
20140314,17,AQI,70
20140314,18,PM2.5,27
20140314,18,AQI,71
20140314,19,PM2.5,29
20140314,19,AQI,71
20140314,20,PM2.5,39
20140314,20,AQI,71
20140314,21,PM2.5,48
20140314,21,AQI,71
20140314,22,PM2.5,54
20140314,22,AQI,66
20140314,23,PM2.5,59
20140314,23,AQI,61
