date,hour,type,dongsi
20140829,0,PM2.5,65
20140829,0,AQI,115
20140829,1,PM2.5,77
20140829,1,AQI,113
20140829,2,PM2.5,73.6
20140829,2,AQI,111
20140829,3,PM2.5,76.2
20140829,3,AQI,109
20140829,4,PM2.5,76.7
20140829,4,AQI,107
20140829,5,PM2.5,72
20140829,5,AQI,105
20140829,6,PM2.5,86.7
20140829,6,AQI,106
20140829,7,PM2.5,89.3
20140829,7,AQI,108
20140829,8,PM2.5,74.6
20140829,8,AQI,109
20140829,9,PM2.5,66.1
20140829,9,AQI,109
20140829,10,PM2.5,64.9
20140829,10,AQI,109
20140829,11,PM2.5,68.6
20140829,11,AQI,110
20140829,12,PM2.5,64.7
20140829,12,AQI,109
20140829,13,PM2.5,69.6
20140829,13,AQI,109
20140829,14,PM2.5,82.1
20140829,14,AQI,110
20140829,15,PM2.5,84
20140829,15,AQI,110
20140829,16,PM2.5,84.5
20140829,16,AQI,110
20140829,17,PM2.5,84.5
20140829,17,AQI,110
20140829,18,PM2.5,88.6
20140829,18,AQI,110
20140829,19,PM2.5,92.7
20140829,19,AQI,110
20140829,20,PM2.5,106.2
20140829,20,AQI,109
20140829,21,PM2.5,101.2
20140829,21,AQI,107
20140829,22,PM2.5,125.1
20140829,22,AQI,108
20140829,23,PM2.5,144.9
20140829,23,AQI,112
