date,hour,type,dongsi
20140218,0,PM2.5,36
20140218,0,AQI,96
20140218,1,PM2.5,31
20140218,1,AQI,91
20140218,2,PM2.5,35
20140218,2,AQI,88
20140218,3,PM2.5,
20140218,3,AQI,84
20140218,4,PM2.5,41
20140218,4,AQI,83
20140218,5,PM2.5,50
20140218,5,AQI,84
20140218,6,PM2.5,50
20140218,6,AQI,84
20140218,7,PM2.5,54
20140218,7,AQI,83
20140218,8,PM2.5,62
20140218,8,AQI,84
20140218,9,PM2.5,73
20140218,9,AQI,84
20140218,10,PM2.5,78
20140218,10,AQI,84
20140218,11,PM2.5,78
20140218,11,AQI,83
20140218,12,PM2.5,75
20140218,12,AQI,83
20140218,13,PM2.5,80
20140218,13,AQI,83
20140218,14,PM2.5,69
20140218,14,AQI,82
20140218,15,PM2.5,70
20140218,15,AQI,82
20140218,16,PM2.5,82
20140218,16,AQI,82
20140218,17,PM2.5,79
20140218,17,AQI,82
20140218,18,PM2.5,71
20140218,18,AQI,82
20140218,19,PM2.5,79
20140218,19,AQI,83
20140218,20,PM2.5,89
20140218,20,AQI,83
20140218,21,PM2.5,91
20140218,21,AQI,84
20140218,22,PM2.5,84
20140218,22,AQI,86
20140218,23,PM2.5,65
20140218,23,AQI,87
