date,hour,type,dongsi
20150127,0,PM2.5,9.3
20150127,0,AQI,128
20150127,1,PM2.5,9.6
20150127,1,AQI,116
20150127,2,PM2.5,13.8
20150127,2,AQI,104
20150127,3,PM2.5,7.7
20150127,3,AQI,91
20150127,4,PM2.5,9.6
20150127,4,AQI,79
20150127,5,PM2.5,8.4
20150127,5,AQI,67
20150127,6,PM2.5,5.9
20150127,6,AQI,54
20150127,7,PM2.5,9.6
20150127,7,AQI,39
20150127,8,PM2.5,14.6
20150127,8,AQI,29
20150127,9,PM2.5,13
20150127,9,AQI,28
20150127,10,PM2.5,19
20150127,10,AQI,24
20150127,11,PM2.5,13.2
20150127,11,AQI,25
20150127,12,PM2.5,11.6
20150127,12,AQI,27
20150127,13,PM2.5,12.1
20150127,13,AQI,27
20150127,14,PM2.5,8.6
20150127,14,AQI,27
20150127,15,PM2.5,10.8
20150127,15,AQI,27
20150127,16,PM2.5,9.8
20150127,16,AQI,26
20150127,17,PM2.5,13.1
20150127,17,AQI,28
20150127,18,PM2.5,20.4
20150127,18,AQI,29
20150127,19,PM2.5,24.9
20150127,19,AQI,34
20150127,20,PM2.5,35.4
20150127,20,AQI,34
20150127,21,PM2.5,45.3
20150127,21,AQI,36
20150127,22,PM2.5,53.7
20150127,22,AQI,41
20150127,23,PM2.5,52
20150127,23,AQI,47
