date,hour,type,dongsi
20141125,0,PM2.5,71.1
20141125,0,AQI,74
20141125,1,PM2.5,59.9
20141125,1,AQI,68
20141125,2,PM2.5,56.9
20141125,2,AQI,61
20141125,3,PM2.5,63.3
20141125,3,AQI,58
20141125,4,PM2.5,63.9
20141125,4,AQI,57
20141125,5,PM2.5,89.7
20141125,5,AQI,59
20141125,6,PM2.5,83.4
20141125,6,AQI,61
20141125,7,PM2.5,82.7
20141125,7,AQI,62
20141125,8,PM2.5,82.5
20141125,8,AQI,65
20141125,9,PM2.5,99.2
20141125,9,AQI,68
20141125,10,PM2.5,104.7
20141125,10,AQI,72
20141125,11,PM2.5,113.1
20141125,11,AQI,76
20141125,12,PM2.5,123.1
20141125,12,AQI,82
20141125,13,PM2.5,129.8
20141125,13,AQI,88
20141125,14,PM2.5,156.6
20141125,14,AQI,96
20141125,15,PM2.5,166.6
20141125,15,AQI,105
20141125,16,PM2.5,162.2
20141125,16,AQI,113
20141125,17,PM2.5,143.9
20141125,17,AQI,119
20141125,18,PM2.5,181.1
20141125,18,AQI,128
20141125,19,PM2.5,214.9
20141125,19,AQI,137
20141125,20,PM2.5,239.7
20141125,20,AQI,147
20141125,21,PM2.5,241.8
20141125,21,AQI,158
20141125,22,PM2.5,247.2
20141125,22,AQI,168
20141125,23,PM2.5,255.2
20141125,23,AQI,179
