date,hour,type,dongsi
20140813,0,PM2.5,11
20140813,0,AQI,35
20140813,1,PM2.5,20.5
20140813,1,AQI,33
20140813,2,PM2.5,22.1
20140813,2,AQI,31
20140813,3,PM2.5,25.8
20140813,3,AQI,31
20140813,4,PM2.5,19.1
20140813,4,AQI,31
20140813,5,PM2.5,23.6
20140813,5,AQI,31
20140813,6,PM2.5,38.6
20140813,6,AQI,33
20140813,7,PM2.5,34.3
20140813,7,AQI,34
20140813,8,PM2.5,31.4
20140813,8,AQI,36
20140813,9,PM2.5,37.9
20140813,9,AQI,38
20140813,10,PM2.5,47.8
20140813,10,AQI,40
20140813,11,PM2.5,47.7
20140813,11,AQI,43
20140813,13,PM2.5,32.7
20140813,13,AQI,45
20140813,14,PM2.5,22.7
20140813,14,AQI,46
20140813,15,PM2.5,12.7
20140813,15,AQI,44
20140813,16,PM2.5,22.6
20140813,16,AQI,43
20140813,17,PM2.5,21.2
20140813,17,AQI,43
20140813,18,PM2.5,26.3
20140813,18,AQI,42
20140813,19,PM2.5,23.7
20140813,19,AQI,41
20140813,20,PM2.5,26.6
20140813,20,AQI,41
20140813,21,PM2.5,27.8
20140813,21,AQI,40
20140813,22,PM2.5,26.9
20140813,22,AQI,40
20140813,23,PM2.5,25.4
20140813,23,AQI,40
