date,hour,type,dongsi
20140708,0,PM2.5,275.8
20140708,0,AQI,236
20140708,1,PM2.5,254.9
20140708,1,AQI,240
20140708,2,PM2.5,257.2
20140708,2,AQI,245
20140708,3,PM2.5,257.2
20140708,3,AQI,250
20140708,4,PM2.5,226.1
20140708,4,AQI,254
20140708,5,PM2.5,186.1
20140708,5,AQI,257
20140708,6,PM2.5,167.8
20140708,6,AQI,260
20140708,7,PM2.5,157.8
20140708,7,AQI,263
20140708,8,PM2.5,156.1
20140708,8,AQI,265
20140708,9,PM2.5,160.5
20140708,9,AQI,267
20140708,10,PM2.5,150.8
20140708,10,AQI,268
20140708,11,PM2.5,86.6
20140708,11,AQI,265
20140708,12,PM2.5,45.9
20140708,12,AQI,259
20140708,13,PM2.5,15.7
20140708,13,AQI,251
20140708,14,PM2.5,15.6
20140708,14,AQI,242
20140708,15,PM2.5,10.5
20140708,15,AQI,233
20140708,16,PM2.5,9.4
20140708,16,AQI,223
20140708,17,PM2.5,3
20140708,17,AQI,213
20140708,18,PM2.5,4.2
20140708,18,AQI,203
20140708,19,PM2.5,9.2
20140708,19,AQI,192
20140708,20,PM2.5,15.4
20140708,20,AQI,179
20140708,21,PM2.5,20.9
20140708,21,AQI,166
20140708,22,PM2.5,39.4
20140708,22,AQI,154
20140708,23,PM2.5,45.4
20140708,23,AQI,141
