date,hour,type,dongsi
20141128,0,PM2.5,28.1
20141128,0,AQI,66
20141128,1,PM2.5,27.5
20141128,1,AQI,58
20141128,2,PM2.5,20.3
20141128,2,AQI,50
20141128,3,PM2.5,21.7
20141128,3,AQI,42
20141128,4,PM2.5,24.9
20141128,4,AQI,41
20141128,5,PM2.5,36
20141128,5,AQI,44
20141128,6,PM2.5,42.7
20141128,6,AQI,48
20141128,7,PM2.5,47.6
20141128,7,AQI,51
20141128,8,PM2.5,54.7
20141128,8,AQI,54
20141128,9,PM2.5,65.2
20141128,9,AQI,56
20141128,10,PM2.5,57.5
20141128,10,AQI,59
20141128,11,PM2.5,58.9
20141128,11,AQI,61
20141128,12,PM2.5,53.9
20141128,12,AQI,63
20141128,13,PM2.5,53.4
20141128,13,AQI,65
20141128,14,PM2.5,54.7
20141128,14,AQI,67
20141128,15,PM2.5,62.4
20141128,15,AQI,70
20141128,16,PM2.5,55.9
20141128,16,AQI,72
20141128,17,PM2.5,61.3
20141128,17,AQI,75
20141128,18,PM2.5,74.1
20141128,18,AQI,78
20141128,19,PM2.5,95.7
20141128,19,AQI,81
20141128,20,PM2.5,127.8
20141128,20,AQI,85
20141128,21,PM2.5,160.3
20141128,21,AQI,89
20141128,22,PM2.5,173.2
20141128,22,AQI,93
20141128,23,PM2.5,176.6
20141128,23,AQI,97
