date,hour,type,dongsi
20140622,0,PM2.5,28.2
20140622,0,AQI,77
20140622,1,PM2.5,22.6
20140622,1,AQI,76
20140622,2,PM2.5,13.8
20140622,2,AQI,73
20140622,3,PM2.5,13.9
20140622,3,AQI,71
20140622,4,PM2.5,12.6
20140622,4,AQI,69
20140622,5,PM2.5,13.7
20140622,5,AQI,66
20140622,6,PM2.5,10
20140622,6,AQI,62
20140622,7,PM2.5,10.7
20140622,7,AQI,60
20140622,8,PM2.5,14.7
20140622,8,AQI,57
20140622,9,PM2.5,45.7
20140622,9,AQI,55
20140622,10,PM2.5,38.5
20140622,10,AQI,53
20140622,11,PM2.5,48.2
20140622,11,AQI,52
20140622,12,PM2.5,50.9
20140622,12,AQI,51
20140622,13,PM2.5,57.2
20140622,13,AQI,50
20140622,14,PM2.5,54
20140622,14,AQI,50
20140622,15,PM2.5,38.4
20140622,15,AQI,52
20140622,16,PM2.5,41.9
20140622,16,AQI,49
20140622,17,PM2.5,44.1
20140622,17,AQI,50
20140622,18,PM2.5,35.2
20140622,18,AQI,57
20140622,19,PM2.5,21.1
20140622,19,AQI,42
20140622,20,PM2.5,27.2
20140622,20,AQI,42
20140622,21,PM2.5,23.2
20140622,21,AQI,43
20140622,22,PM2.5,30.9
20140622,22,AQI,43
20140622,23,PM2.5,44.7
20140622,23,AQI,45
