date,hour,type,dongsi
20140520,0,PM2.5,184.3
20140520,0,AQI,155
20140520,1,PM2.5,203
20140520,1,AQI,160
20140520,2,PM2.5,223.8
20140520,2,AQI,168
20140520,3,PM2.5,239.8
20140520,3,AQI,178
20140520,4,PM2.5,225.2
20140520,4,AQI,187
20140520,5,PM2.5,189.6
20140520,5,AQI,193
20140520,6,PM2.5,146.4
20140520,6,AQI,197
20140520,7,PM2.5,81.1
20140520,7,AQI,198
20140520,8,PM2.5,44
20140520,8,AQI,196
20140520,9,PM2.5,20.7
20140520,9,AQI,193
20140520,10,PM2.5,21.5
20140520,10,AQI,190
20140520,11,PM2.5,17.8
20140520,11,AQI,183
20140520,12,PM2.5,16.4
20140520,12,AQI,175
20140520,13,PM2.5,23.7
20140520,13,AQI,166
20140520,14,PM2.5,26.1
20140520,14,AQI,157
20140520,15,PM2.5,30.1
20140520,15,AQI,150
20140520,16,PM2.5,35.4
20140520,16,AQI,144
20140520,17,PM2.5,
20140520,17,AQI,
20140520,18,PM2.5,28.7
20140520,18,AQI,135
20140520,19,PM2.5,29.6
20140520,19,AQI,131
20140520,20,PM2.5,42
20140520,20,AQI,127
20140520,21,PM2.5,96
20140520,21,AQI,125
20140520,22,PM2.5,132.8
20140520,22,AQI,125
20140520,23,PM2.5,121.9
20140520,23,AQI,122
