date,hour,type,dongsi
20141108,0,PM2.5,36
20141108,0,AQI,
20141108,1,PM2.5,38
20141108,1,AQI,
20141108,2,PM2.5,40
20141108,2,AQI,
20141108,3,PM2.5,68
20141108,3,AQI,
20141108,4,PM2.5,62
20141108,4,AQI,
20141108,5,PM2.5,58
20141108,5,AQI,
20141108,6,PM2.5,54
20141108,6,AQI,
20141108,7,PM2.5,53
20141108,7,AQI,
20141108,8,PM2.5,53
20141108,8,AQI,
20141108,9,PM2.5,58
20141108,9,AQI,
20141108,10,PM2.5,56
20141108,10,AQI,
20141108,11,PM2.5,57
20141108,11,AQI,61
20141108,12,PM2.5,62
20141108,12,AQI,61
20141108,13,PM2.5,66
20141108,13,AQI,62
20141108,14,PM2.5,65
20141108,14,AQI,63
20141108,15,PM2.5,
20141108,15,AQI,
20141108,16,PM2.5,62
20141108,16,AQI,68
20141108,17,PM2.5,53
20141108,17,AQI,70
20141108,18,PM2.5,61
20141108,18,AQI,71
20141108,19,PM2.5,72
20141108,19,AQI,73
20141108,20,PM2.5,83
20141108,20,AQI,75
20141108,21,PM2.5,75
20141108,21,AQI,77
20141108,22,PM2.5,75
20141108,22,AQI,80
20141108,23,PM2.5,78
20141108,23,AQI,82
