date,hour,type,dongsi
20141224,0,PM2.5,5.1
20141224,0,AQI,85
20141224,1,PM2.5,3
20141224,1,AQI,79
20141224,2,PM2.5,3
20141224,2,AQI,74
20141224,3,PM2.5,3
20141224,3,AQI,71
20141224,4,PM2.5,5.4
20141224,4,AQI,69
20141224,5,PM2.5,3
20141224,5,AQI,67
20141224,6,PM2.5,3.7
20141224,6,AQI,66
20141224,7,PM2.5,3.3
20141224,7,AQI,65
20141224,8,PM2.5,8.2
20141224,8,AQI,63
20141224,9,PM2.5,5.2
20141224,9,AQI,61
20141224,10,PM2.5,6.3
20141224,10,AQI,60
20141224,11,PM2.5,7.3
20141224,11,AQI,59
20141224,12,PM2.5,8.8
20141224,12,AQI,58
20141224,13,PM2.5,10.1
20141224,13,AQI,56
20141224,14,PM2.5,7.6
20141224,14,AQI,55
20141224,15,PM2.5,5.7
20141224,15,AQI,54
20141224,16,PM2.5,6.8
20141224,16,AQI,53
20141224,17,PM2.5,9.3
20141224,17,AQI,52
20141224,18,PM2.5,8.4
20141224,18,AQI,48
20141224,19,PM2.5,12.9
20141224,19,AQI,38
20141224,20,PM2.5,13.4
20141224,20,AQI,32
20141224,21,PM2.5,9.6
20141224,21,AQI,30
20141224,22,PM2.5,14.9
20141224,22,AQI,32
20141224,23,PM2.5,19.2
20141224,23,AQI,30
