date,hour,type,dongsi
20140121,0,PM2.5,5
20140121,0,AQI,28
20140121,1,PM2.5,8
20140121,1,AQI,24
20140121,2,PM2.5,11
20140121,2,AQI,21
20140121,3,PM2.5,13
20140121,3,AQI,19
20140121,4,PM2.5,13
20140121,4,AQI,19
20140121,5,PM2.5,16
20140121,5,AQI,19
20140121,6,PM2.5,17
20140121,6,AQI,19
20140121,7,PM2.5,20
20140121,7,AQI,18
20140121,8,PM2.5,21
20140121,8,AQI,19
20140121,9,PM2.5,20
20140121,9,AQI,21
20140121,10,PM2.5,19
20140121,10,AQI,23
20140121,11,PM2.5,20
20140121,11,AQI,23
20140121,12,PM2.5,
20140121,12,AQI,23
20140121,13,PM2.5,35
20140121,13,AQI,23
20140121,14,PM2.5,43
20140121,14,AQI,23
20140121,15,PM2.5,48
20140121,15,AQI,24
20140121,16,PM2.5,50
20140121,16,AQI,27
20140121,17,PM2.5,60
20140121,17,AQI,30
20140121,18,PM2.5,55
20140121,18,AQI,32
20140121,19,PM2.5,67
20140121,19,AQI,36
20140121,20,PM2.5,91
20140121,20,AQI,41
20140121,21,PM2.5,106
20140121,21,AQI,46
20140121,22,PM2.5,117
20140121,22,AQI,52
20140121,23,PM2.5,119
20140121,23,AQI,58
