date,hour,type,dongsi
20140513,0,PM2.5,54.2
20140513,0,AQI,69
20140513,1,PM2.5,46.7
20140513,1,AQI,70
20140513,2,PM2.5,46.8
20140513,2,AQI,71
20140513,3,PM2.5,50.7
20140513,3,AQI,73
20140513,4,PM2.5,96.9
20140513,4,AQI,76
20140513,5,PM2.5,64.9
20140513,5,AQI,78
20140513,6,PM2.5,69.4
20140513,6,AQI,79
20140513,7,PM2.5,76.8
20140513,7,AQI,80
20140513,8,PM2.5,107.7
20140513,8,AQI,81
20140513,9,PM2.5,120.9
20140513,9,AQI,83
20140513,10,PM2.5,145.7
20140513,10,AQI,88
20140513,11,PM2.5,147
20140513,11,AQI,95
20140513,12,PM2.5,128.1
20140513,12,AQI,101
20140513,13,PM2.5,102.6
20140513,13,AQI,105
20140513,14,PM2.5,75.3
20140513,14,AQI,108
20140513,15,PM2.5,56.3
20140513,15,AQI,109
20140513,16,PM2.5,54
20140513,16,AQI,111
20140513,17,PM2.5,48.7
20140513,17,AQI,111
20140513,18,PM2.5,39.9
20140513,18,AQI,110
20140513,19,PM2.5,39.4
20140513,19,AQI,108
20140513,20,PM2.5,47.3
20140513,20,AQI,105
20140513,21,PM2.5,34.5
20140513,21,AQI,100
20140513,22,PM2.5,33.9
20140513,22,AQI,98
20140513,23,PM2.5,28.8
20140513,23,AQI,96
