date,hour,type,dongsi
20140405,0,PM2.5,29
20140405,0,AQI,92
20140405,1,PM2.5,27
20140405,1,AQI,91
20140405,2,PM2.5,34
20140405,2,AQI,91
20140405,3,PM2.5,31
20140405,3,AQI,90
20140405,4,PM2.5,32
20140405,4,AQI,90
20140405,5,PM2.5,34
20140405,5,AQI,89
20140405,6,PM2.5,24
20140405,6,AQI,88
20140405,7,PM2.5,13
20140405,7,AQI,86
20140405,8,PM2.5,12
20140405,8,AQI,85
20140405,9,PM2.5,5
20140405,9,AQI,82
20140405,10,PM2.5,7
20140405,10,AQI,79
20140405,11,PM2.5,4
20140405,11,AQI,77
20140405,12,PM2.5,7
20140405,12,AQI,76
20140405,13,PM2.5,8
20140405,13,AQI,75
20140405,14,PM2.5,15
20140405,14,AQI,76
20140405,15,PM2.5,15
20140405,15,AQI,73
20140405,16,PM2.5,8
20140405,16,AQI,72
20140405,17,PM2.5,3
20140405,17,AQI,71
20140405,18,PM2.5,33
20140405,18,AQI,71
20140405,19,PM2.5,34
20140405,19,AQI,71
20140405,20,PM2.5,52
20140405,20,AQI,71
20140405,21,PM2.5,48
20140405,21,AQI,72
20140405,22,PM2.5,56
20140405,22,AQI,70
20140405,23,PM2.5,55
20140405,23,AQI,70
