date,hour,type,dongsi
20140202,0,PM2.5,122
20140202,0,AQI,181
20140202,1,PM2.5,143
20140202,1,AQI,180
20140202,2,PM2.5,145
20140202,2,AQI,178
20140202,3,PM2.5,151
20140202,3,AQI,178
20140202,4,PM2.5,163
20140202,4,AQI,179
20140202,5,PM2.5,163
20140202,5,AQI,179
20140202,6,PM2.5,158
20140202,6,AQI,178
20140202,7,PM2.5,154
20140202,7,AQI,178
20140202,8,PM2.5,147
20140202,8,AQI,176
20140202,9,PM2.5,131
20140202,9,AQI,174
20140202,10,PM2.5,66
20140202,10,AQI,168
20140202,11,PM2.5,19
20140202,11,AQI,161
20140202,12,PM2.5,14
20140202,12,AQI,154
20140202,13,PM2.5,12
20140202,13,AQI,149
20140202,14,PM2.5,12
20140202,14,AQI,145
20140202,15,PM2.5,19
20140202,15,AQI,140
20140202,16,PM2.5,11
20140202,16,AQI,134
20140202,17,PM2.5,10
20140202,17,AQI,129
20140202,18,PM2.5,10
20140202,18,AQI,123
20140202,19,PM2.5,15
20140202,19,AQI,118
20140202,20,PM2.5,9
20140202,20,AQI,112
20140202,21,PM2.5,15
20140202,21,AQI,107
20140202,22,PM2.5,11
20140202,22,AQI,101
20140202,23,PM2.5,14
20140202,23,AQI,95
