date,hour,type,dongsi
20140106,0,PM2.5,122
20140106,0,AQI,117
20140106,1,PM2.5,132
20140106,1,AQI,116
20140106,2,PM2.5,143
20140106,2,AQI,116
20140106,3,PM2.5,126
20140106,3,AQI,115
20140106,4,PM2.5,134
20140106,4,AQI,114
20140106,5,PM2.5,118
20140106,5,AQI,112
20140106,6,PM2.5,105
20140106,6,AQI,110
20140106,7,PM2.5,104
20140106,7,AQI,110
20140106,8,PM2.5,107
20140106,8,AQI,111
20140106,9,PM2.5,108
20140106,9,AQI,112
20140106,10,PM2.5,108
20140106,10,AQI,112
20140106,11,PM2.5,120
20140106,11,AQI,111
20140106,12,PM2.5,135
20140106,12,AQI,115
20140106,13,PM2.5,119
20140106,13,AQI,120
20140106,14,PM2.5,138
20140106,14,AQI,125
20140106,15,PM2.5,140
20140106,15,AQI,131
20140106,16,PM2.5,138
20140106,16,AQI,137
20140106,17,PM2.5,137
20140106,17,AQI,142
20140106,18,PM2.5,144
20140106,18,AQI,148
20140106,19,PM2.5,152
20140106,19,AQI,155
20140106,20,PM2.5,162
20140106,20,AQI,162
20140106,21,PM2.5,176
20140106,21,AQI,170
20140106,22,PM2.5,173
20140106,22,AQI,174
20140106,23,PM2.5,170
20140106,23,AQI,177
