date,hour,type,dongsi
20140222,0,PM2.5,249
20140222,0,AQI,301
20140222,1,PM2.5,296
20140222,1,AQI,300
20140222,2,PM2.5,294
20140222,2,AQI,300
20140222,3,PM2.5,281
20140222,3,AQI,300
20140222,4,PM2.5,273
20140222,4,AQI,299
20140222,5,PM2.5,241
20140222,5,AQI,298
20140222,6,PM2.5,241
20140222,6,AQI,297
20140222,7,PM2.5,216
20140222,7,AQI,296
20140222,8,PM2.5,233
20140222,8,AQI,296
20140222,9,PM2.5,244
20140222,9,AQI,298
20140222,10,PM2.5,252
20140222,10,AQI,300
20140222,11,PM2.5,262
20140222,11,AQI,302
20140222,12,PM2.5,227
20140222,12,AQI,304
20140222,13,PM2.5,243
20140222,13,AQI,305
20140222,14,PM2.5,307
20140222,14,AQI,307
20140222,15,PM2.5,267
20140222,15,AQI,308
20140222,16,PM2.5,263
20140222,16,AQI,308
20140222,17,PM2.5,260
20140222,17,AQI,308
20140222,18,PM2.5,267
20140222,18,AQI,309
20140222,19,PM2.5,242
20140222,19,AQI,309
20140222,20,PM2.5,214
20140222,20,AQI,307
20140222,21,PM2.5,238
20140222,21,AQI,306
20140222,22,PM2.5,218
20140222,22,AQI,304
20140222,23,PM2.5,213
20140222,23,AQI,302
