date,hour,type,dongsi
20150115,0,PM2.5,299.7
20150115,0,AQI,281
20150115,1,PM2.5,295.4
20150115,1,AQI,280
20150115,2,PM2.5,279.6
20150115,2,AQI,280
20150115,3,PM2.5,266.3
20150115,3,AQI,280
20150115,4,PM2.5,274.6
20150115,4,AQI,282
20150115,5,PM2.5,265.8
20150115,5,AQI,286
20150115,6,PM2.5,254.3
20150115,6,AQI,290
20150115,7,PM2.5,212.7
20150115,7,AQI,292
20150115,8,PM2.5,208.1
20150115,8,AQI,293
20150115,9,PM2.5,191.9
20150115,9,AQI,295
20150115,10,PM2.5,195.6
20150115,10,AQI,296
20150115,11,PM2.5,
20150115,11,AQI,299
20150115,12,PM2.5,
20150115,12,AQI,301
20150115,13,PM2.5,253.7
20150115,13,AQI,302
20150115,14,PM2.5,461.7
20150115,14,AQI,312
20150115,15,PM2.5,442.9
20150115,15,AQI,321
20150115,16,PM2.5,374.3
20150115,16,AQI,327
20150115,17,PM2.5,383
20150115,17,AQI,332
20150115,18,PM2.5,370.8
20150115,18,AQI,338
20150115,19,PM2.5,413.3
20150115,19,AQI,347
20150115,20,PM2.5,408.9
20150115,20,AQI,354
20150115,21,PM2.5,392.2
20150115,21,AQI,359
20150115,22,PM2.5,409.2
20150115,22,AQI,365
20150115,23,PM2.5,449.6
20150115,23,AQI,373
