date,hour,type,dongsi
20150111,0,PM2.5,25.9
20150111,0,AQI,246
20150111,1,PM2.5,5.6
20150111,1,AQI,234
20150111,2,PM2.5,3.7
20150111,2,AQI,222
20150111,3,PM2.5,3.2
20150111,3,AQI,209
20150111,4,PM2.5,3.6
20150111,4,AQI,193
20150111,5,PM2.5,4
20150111,5,AQI,175
20150111,6,PM2.5,3
20150111,6,AQI,160
20150111,7,PM2.5,3
20150111,7,AQI,146
20150111,8,PM2.5,3
20150111,8,AQI,135
20150111,9,PM2.5,3
20150111,9,AQI,125
20150111,10,PM2.5,3
20150111,10,AQI,115
20150111,11,PM2.5,8.2
20150111,11,AQI,105
20150111,12,PM2.5,6
20150111,12,AQI,99
20150111,13,PM2.5,12.7
20150111,13,AQI,93
20150111,14,PM2.5,21
20150111,14,AQI,84
20150111,15,PM2.5,23.6
20150111,15,AQI,82
20150111,16,PM2.5,21.2
20150111,16,AQI,78
20150111,17,PM2.5,37
20150111,17,AQI,75
20150111,18,PM2.5,64.2
20150111,18,AQI,74
20150111,19,PM2.5,86
20150111,19,AQI,69
20150111,20,PM2.5,101.7
20150111,20,AQI,62
20150111,21,PM2.5,99.1
20150111,21,AQI,56
20150111,22,PM2.5,90.5
20150111,22,AQI,52
20150111,23,PM2.5,105.5
20150111,23,AQI,52
