date,hour,type,dongsi
20150108,0,PM2.5,69.9
20150108,0,AQI,83
20150108,1,PM2.5,60.8
20150108,1,AQI,80
20150108,2,PM2.5,67.1
20150108,2,AQI,78
20150108,3,PM2.5,86.8
20150108,3,AQI,77
20150108,4,PM2.5,104.1
20150108,4,AQI,79
20150108,5,PM2.5,135.1
20150108,5,AQI,85
20150108,6,PM2.5,156.2
20150108,6,AQI,92
20150108,7,PM2.5,161.1
20150108,7,AQI,99
20150108,8,PM2.5,147
20150108,8,AQI,106
20150108,9,PM2.5,96.6
20150108,9,AQI,110
20150108,10,PM2.5,91.3
20150108,10,AQI,113
20150108,11,PM2.5,78.6
20150108,11,AQI,115
20150108,12,PM2.5,84.2
20150108,12,AQI,116
20150108,13,PM2.5,90
20150108,13,AQI,118
20150108,14,PM2.5,128.5
20150108,14,AQI,121
20150108,15,PM2.5,150.1
20150108,15,AQI,126
20150108,16,PM2.5,140.1
20150108,16,AQI,130
20150108,17,PM2.5,168.3
20150108,17,AQI,135
20150108,18,PM2.5,182.9
20150108,18,AQI,140
20150108,19,PM2.5,193.5
20150108,19,AQI,147
20150108,20,PM2.5,188.6
20150108,20,AQI,154
20150108,21,PM2.5,199.4
20150108,21,AQI,162
20150108,22,PM2.5,292.4
20150108,22,AQI,174
20150108,23,PM2.5,335.3
20150108,23,AQI,189
