date,hour,type,dongsi
20150117,0,PM2.5,12
20150117,0,AQI,101
20150117,1,PM2.5,12.3
20150117,1,AQI,78
20150117,2,PM2.5,11.6
20150117,2,AQI,56
20150117,3,PM2.5,14.8
20150117,3,AQI,32
20150117,4,PM2.5,11.3
20150117,4,AQI,29
20150117,5,PM2.5,8.5
20150117,5,AQI,29
20150117,6,PM2.5,10.9
20150117,6,AQI,29
20150117,7,PM2.5,8.9
20150117,7,AQI,30
20150117,8,PM2.5,10.7
20150117,8,AQI,31
20150117,9,PM2.5,9.1
20150117,9,AQI,30
20150117,10,PM2.5,7.2
20150117,10,AQI,31
20150117,11,PM2.5,19.5
20150117,11,AQI,30
20150117,12,PM2.5,64.1
20150117,12,AQI,32
20150117,13,PM2.5,85.3
20150117,13,AQI,36
20150117,14,PM2.5,89.6
20150117,14,AQI,40
20150117,15,PM2.5,88
20150117,15,AQI,46
20150117,16,PM2.5,104.5
20150117,16,AQI,52
20150117,17,PM2.5,124.9
20150117,17,AQI,57
20150117,18,PM2.5,127.8
20150117,18,AQI,63
20150117,19,PM2.5,131.6
20150117,19,AQI,66
20150117,20,PM2.5,157
20150117,20,AQI,72
20150117,21,PM2.5,152.4
20150117,21,AQI,75
20150117,22,PM2.5,120.3
20150117,22,AQI,79
20150117,23,PM2.5,114.7
20150117,23,AQI,85
