date,hour,type,dongsi
20150120,0,PM2.5,54.9
20150120,0,AQI,62
20150120,1,PM2.5,70.7
20150120,1,AQI,63
20150120,2,PM2.5,76.8
20150120,2,AQI,66
20150120,3,PM2.5,73.7
20150120,3,AQI,69
20150120,4,PM2.5,74
20150120,4,AQI,72
20150120,5,PM2.5,70.5
20150120,5,AQI,75
20150120,6,PM2.5,72.4
20150120,6,AQI,79
20150120,7,PM2.5,76.9
20150120,7,AQI,82
20150120,8,PM2.5,72.6
20150120,8,AQI,85
20150120,9,PM2.5,74.8
20150120,9,AQI,87
20150120,10,PM2.5,76.3
20150120,10,AQI,89
20150120,11,PM2.5,84
20150120,11,AQI,91
20150120,12,PM2.5,83.5
20150120,12,AQI,93
20150120,13,PM2.5,69.2
20150120,13,AQI,94
20150120,14,PM2.5,74
20150120,14,AQI,95
20150120,15,PM2.5,81.8
20150120,15,AQI,97
20150120,16,PM2.5,86
20150120,16,AQI,99
20150120,17,PM2.5,89.9
20150120,17,AQI,100
20150120,18,PM2.5,91.6
20150120,18,AQI,102
20150120,19,PM2.5,107.6
20150120,19,AQI,104
20150120,20,PM2.5,106.1
20150120,20,AQI,105
20150120,21,PM2.5,108.6
20150120,21,AQI,106
20150120,22,PM2.5,111.8
20150120,22,AQI,108
20150120,23,PM2.5,92.4
20150120,23,AQI,110
