date,hour,type,dongsi
20150118,0,PM2.5,153.4
20150118,0,AQI,92
20150118,1,PM2.5,163.7
20150118,1,AQI,100
20150118,2,PM2.5,159
20150118,2,AQI,108
20150118,3,PM2.5,129.6
20150118,3,AQI,114
20150118,4,PM2.5,112.1
20150118,4,AQI,119
20150118,5,PM2.5,115.3
20150118,5,AQI,124
20150118,6,PM2.5,115.5
20150118,6,AQI,130
20150118,7,PM2.5,119.3
20150118,7,AQI,136
20150118,8,PM2.5,117.4
20150118,8,AQI,141
20150118,9,PM2.5,118.6
20150118,9,AQI,147
20150118,10,PM2.5,128.2
20150118,10,AQI,154
20150118,11,PM2.5,128.3
20150118,11,AQI,160
20150118,12,PM2.5,102.7
20150118,12,AQI,162
20150118,13,PM2.5,35.6
20150118,13,AQI,159
20150118,14,PM2.5,19
20150118,14,AQI,155
20150118,15,PM2.5,4.9
20150118,15,AQI,150
20150118,16,PM2.5,5
20150118,16,AQI,145
20150118,17,PM2.5,8
20150118,17,AQI,139
20150118,18,PM2.5,9.5
20150118,18,AQI,133
20150118,19,PM2.5,9.9
20150118,19,AQI,126
20150118,20,PM2.5,10.6
20150118,20,AQI,119
20150118,21,PM2.5,6.9
20150118,21,AQI,111
20150118,22,PM2.5,5.3
20150118,22,AQI,105
20150118,23,PM2.5,4.1
20150118,23,AQI,100
