date,hour,type,dongsi
20150107,0,PM2.5,120.7
20150107,0,AQI,57
20150107,1,PM2.5,111.3
20150107,1,AQI,61
20150107,2,PM2.5,111.5
20150107,2,AQI,64
20150107,3,PM2.5,105.7
20150107,3,AQI,68
20150107,4,PM2.5,63.9
20150107,4,AQI,71
20150107,5,PM2.5,26.9
20150107,5,AQI,72
20150107,6,PM2.5,16.8
20150107,6,AQI,73
20150107,7,PM2.5,15.1
20150107,7,AQI,73
20150107,8,PM2.5,20.3
20150107,8,AQI,74
20150107,9,PM2.5,22
20150107,9,AQI,75
20150107,10,PM2.5,33.2
20150107,10,AQI,76
20150107,11,PM2.5,47.7
20150107,11,AQI,77
20150107,12,PM2.5,58.8
20150107,12,AQI,80
20150107,13,PM2.5,50.2
20150107,13,AQI,82
20150107,14,PM2.5,63.7
20150107,14,AQI,84
20150107,15,PM2.5,61.1
20150107,15,AQI,86
20150107,16,PM2.5,66.4
20150107,16,AQI,88
20150107,17,PM2.5,73.5
20150107,17,AQI,89
20150107,18,PM2.5,75.6
20150107,18,AQI,90
20150107,19,PM2.5,65.6
20150107,19,AQI,90
20150107,20,PM2.5,65.2
20150107,20,AQI,89
20150107,21,PM2.5,67.9
20150107,21,AQI,88
20150107,22,PM2.5,92
20150107,22,AQI,87
20150107,23,PM2.5,75.7
20150107,23,AQI,85
