date,hour,type,dongsi
20150124,0,PM2.5,280.3
20150124,0,AQI,286
20150124,1,PM2.5,166.3
20150124,1,AQI,282
20150124,2,PM2.5,53.5
20150124,2,AQI,273
20150124,3,PM2.5,31
20150124,3,AQI,263
20150124,4,PM2.5,34.4
20150124,4,AQI,253
20150124,5,PM2.5,29.9
20150124,5,AQI,245
20150124,6,PM2.5,26.2
20150124,6,AQI,237
20150124,7,PM2.5,15.9
20150124,7,AQI,229
20150124,8,PM2.5,91.2
20150124,8,AQI,225
20150124,9,PM2.5,100.3
20150124,9,AQI,221
20150124,10,PM2.5,97.2
20150124,10,AQI,217
20150124,11,PM2.5,105.8
20150124,11,AQI,213
20150124,12,PM2.5,105.7
20150124,12,AQI,208
20150124,13,PM2.5,98.7
20150124,13,AQI,203
20150124,14,PM2.5,107.1
20150124,14,AQI,198
20150124,15,PM2.5,97.8
20150124,15,AQI,194
20150124,16,PM2.5,64.7
20150124,16,AQI,188
20150124,17,PM2.5,64.6
20150124,17,AQI,178
20150124,18,PM2.5,83.2
20150124,18,AQI,167
20150124,19,PM2.5,85.4
20150124,19,AQI,157
20150124,20,PM2.5,81.1
20150124,20,AQI,146
20150124,21,PM2.5,80.4
20150124,21,AQI,135
20150124,22,PM2.5,98.5
20150124,22,AQI,125
20150124,23,PM2.5,100.7
20150124,23,AQI,116
