date,hour,type,dongsi
20150110,0,PM2.5,310.3
20150110,0,AQI,118
20150110,1,PM2.5,281
20150110,1,AQI,121
20150110,2,PM2.5,295.6
20150110,2,AQI,126
20150110,3,PM2.5,320.3
20150110,3,AQI,133
20150110,4,PM2.5,323.4
20150110,4,AQI,143
20150110,5,PM2.5,306.7
20150110,5,AQI,157
20150110,6,PM2.5,264
20150110,6,AQI,171
20150110,7,PM2.5,237.2
20150110,7,AQI,185
20150110,8,PM2.5,218
20150110,8,AQI,197
20150110,9,PM2.5,195.8
20150110,9,AQI,206
20150110,10,PM2.5,192.9
20150110,10,AQI,214
20150110,11,PM2.5,200.9
20150110,11,AQI,221
20150110,12,PM2.5,116.5
20150110,12,AQI,226
20150110,13,PM2.5,130.2
20150110,13,AQI,231
20150110,14,PM2.5,197.2
20150110,14,AQI,239
20150110,15,PM2.5,74.2
20150110,15,AQI,242
20150110,16,PM2.5,82.4
20150110,16,AQI,245
20150110,17,PM2.5,103.1
20150110,17,AQI,249
20150110,18,PM2.5,89.2
20150110,18,AQI,252
20150110,19,PM2.5,177.3
20150110,19,AQI,257
20150110,20,PM2.5,226.5
20150110,20,AQI,262
20150110,21,PM2.5,265.6
20150110,21,AQI,266
20150110,22,PM2.5,246.1
20150110,22,AQI,265
20150110,23,PM2.5,114.6
20150110,23,AQI,257
