date,hour,type,dongsi
20150129,0,PM2.5,90.7
20150129,0,AQI,52
20150129,1,PM2.5,137.1
20150129,1,AQI,54
20150129,2,PM2.5,148.5
20150129,2,AQI,60
20150129,3,PM2.5,141
20150129,3,AQI,66
20150129,4,PM2.5,108.5
20150129,4,AQI,71
20150129,5,PM2.5,110.2
20150129,5,AQI,77
20150129,6,PM2.5,99.9
20150129,6,AQI,82
20150129,7,PM2.5,91.3
20150129,7,AQI,87
20150129,8,PM2.5,83.8
20150129,8,AQI,91
20150129,9,PM2.5,89.7
20150129,9,AQI,95
20150129,10,PM2.5,105.6
20150129,10,AQI,101
20150129,11,PM2.5,133.8
20150129,11,AQI,107
20150129,12,PM2.5,
20150129,12,AQI,111
20150129,13,PM2.5,
20150129,13,AQI,115
20150129,14,PM2.5,11.1
20150129,14,AQI,114
20150129,15,PM2.5,11.2
20150129,15,AQI,113
20150129,16,PM2.5,9.7
20150129,16,AQI,110
20150129,17,PM2.5,8.9
20150129,17,AQI,108
20150129,18,PM2.5,10.3
20150129,18,AQI,106
20150129,19,PM2.5,14.4
20150129,19,AQI,103
20150129,20,PM2.5,12
20150129,20,AQI,100
20150129,21,PM2.5,11.4
20150129,21,AQI,96
20150129,22,PM2.5,16
20150129,22,AQI,93
20150129,23,PM2.5,9.7
20150129,23,AQI,89
