date,hour,type,dongsi
20150126,0,PM2.5,236.3
20150126,0,AQI,189
20150126,1,PM2.5,242.7
20150126,1,AQI,199
20150126,2,PM2.5,246.4
20150126,2,AQI,205
20150126,3,PM2.5,239.4
20150126,3,AQI,211
20150126,4,PM2.5,242.2
20150126,4,AQI,218
20150126,5,PM2.5,235.8
20150126,5,AQI,225
20150126,6,PM2.5,261.1
20150126,6,AQI,233
20150126,7,PM2.5,278.6
20150126,7,AQI,241
20150126,8,PM2.5,207.4
20150126,8,AQI,246
20150126,9,PM2.5,162.2
20150126,9,AQI,248
20150126,10,PM2.5,52.9
20150126,10,AQI,246
20150126,11,PM2.5,20.9
20150126,11,AQI,241
20150126,12,PM2.5,22.7
20150126,12,AQI,237
20150126,13,PM2.5,7.5
20150126,13,AQI,231
20150126,14,PM2.5,12
20150126,14,AQI,226
20150126,15,PM2.5,10.3
20150126,15,AQI,221
20150126,16,PM2.5,7.2
20150126,16,AQI,214
20150126,17,PM2.5,3
20150126,17,AQI,207
20150126,18,PM2.5,6.4
20150126,18,AQI,198
20150126,19,PM2.5,10.4
20150126,19,AQI,187
20150126,20,PM2.5,13.3
20150126,20,AQI,175
20150126,21,PM2.5,11.3
20150126,21,AQI,163
20150126,22,PM2.5,9.2
20150126,22,AQI,151
20150126,23,PM2.5,12.9
20150126,23,AQI,140
