date,hour,type,dongsi
20150112,0,PM2.5,104.2
20150112,0,AQI,54
20150112,1,PM2.5,67.4
20150112,1,AQI,54
20150112,2,PM2.5,64.4
20150112,2,AQI,56
20150112,3,PM2.5,80.7
20150112,3,AQI,60
20150112,4,PM2.5,84.8
20150112,4,AQI,64
20150112,5,PM2.5,86.4
20150112,5,AQI,68
20150112,6,PM2.5,87.3
20150112,6,AQI,73
20150112,7,PM2.5,97
20150112,7,AQI,77
20150112,8,PM2.5,102.3
20150112,8,AQI,83
20150112,9,PM2.5,105.4
20150112,9,AQI,88
20150112,10,PM2.5,115.7
20150112,10,AQI,94
20150112,11,PM2.5,135.4
20150112,11,AQI,100
20150112,12,PM2.5,146.3
20150112,12,AQI,108
20150112,13,PM2.5,124
20150112,13,AQI,114
20150112,14,PM2.5,94.8
20150112,14,AQI,117
20150112,15,PM2.5,83.1
20150112,15,AQI,120
20150112,16,PM2.5,72.2
20150112,16,AQI,123
20150112,17,PM2.5,60.1
20150112,17,AQI,124
20150112,18,PM2.5,59.1
20150112,18,AQI,124
20150112,19,PM2.5,62.8
20150112,19,AQI,123
20150112,20,PM2.5,66.4
20150112,20,AQI,121
20150112,21,PM2.5,142.6
20150112,21,AQI,123
20150112,22,PM2.5,188.1
20150112,22,AQI,128
20150112,23,PM2.5,129.7
20150112,23,AQI,130
