date,hour,type,dongsi
20150109,0,PM2.5,282.1
20150109,0,AQI,201
20150109,1,PM2.5,222.8
20150109,1,AQI,208
20150109,2,PM2.5,203.5
20150109,2,AQI,214
20150109,3,PM2.5,190.8
20150109,3,AQI,218
20150109,4,PM2.5,126.4
20150109,4,AQI,219
20150109,5,PM2.5,57.6
20150109,5,AQI,216
20150109,6,PM2.5,30
20150109,6,AQI,210
20150109,7,PM2.5,9.1
20150109,7,AQI,204
20150109,8,PM2.5,6.5
20150109,8,AQI,197
20150109,9,PM2.5,8.7
20150109,9,AQI,192
20150109,10,PM2.5,10.6
20150109,10,AQI,187
20150109,11,PM2.5,10.2
20150109,11,AQI,183
20150109,12,PM2.5,8.6
20150109,12,AQI,179
20150109,13,PM2.5,7.7
20150109,13,AQI,174
20150109,14,PM2.5,7.7
20150109,14,AQI,167
20150109,15,PM2.5,7.7
20150109,15,AQI,158
20150109,16,PM2.5,7.2
20150109,16,AQI,150
20150109,17,PM2.5,7.6
20150109,17,AQI,142
20150109,18,PM2.5,5.5
20150109,18,AQI,133
20150109,19,PM2.5,61.9
20150109,19,AQI,126
20150109,20,PM2.5,119.4
20150109,20,AQI,122
20150109,21,PM2.5,162.9
20150109,21,AQI,120
20150109,22,PM2.5,273.3
20150109,22,AQI,119
20150109,23,PM2.5,289.1
20150109,23,AQI,117
